2025-11-11 00:38:24 [Database:INFO] - 데이터베이스 테이블 생성/확인 완료: sqlite:///athena_v1_trade_history.db
2025-11-11 00:44:17 [Main:INFO] - [KRW-NEO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-NEWT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-NOM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-NXPC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-OM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ONDO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ONG] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ONT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-OP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-OPEN] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ORBS] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ORCA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ORDER] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PENDLE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PENGU] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PEPE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-POKT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-POL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-POLYX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-POWR] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PROVE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PUMP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PUNDIX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-PYTH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-QKC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-QTUM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-RAY] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-RED] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-RENDER] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-RVN] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SAFE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SAHARA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SAND] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SEI] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SHIB] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SIGN] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SNT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SOL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SOMI] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SONIC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SOPH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-STEEM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-STG] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-STORJ] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-STRAX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-STX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SUI] 봇 시작 명령 수신.
